JDK-15 vanilla UseAVX=2
  Length(bytes)      Time(ms)
------------------------------------------
    0    ,    
    1    ,    390
    2    ,    417
    3    ,    441
    4    ,    412
    5    ,    426
    6    ,    458
    7    ,    491
    8    ,    918
    9    ,    561
    10    ,    818
    11    ,    854
    12    ,    880
    13    ,    904
    14    ,    909
    15    ,    952
    16    ,    930
    17    ,    567
    18    ,    876
    19    ,    901
    20    ,    923
    21    ,    905
    22    ,    938
    23    ,    979
    24    ,    957
    25    ,    584
    26    ,    911
    27    ,    925
    28    ,    927
    29    ,    928
    30    ,    970
    31    ,    986
    32    ,    966
    33    ,    570
    34    ,    889
    35    ,    930
    36    ,    931
    37    ,    952
    38    ,    967
    39    ,    1012
    40    ,    997
    41    ,    623
    42    ,    952
    43    ,    970
    44    ,    1000
    45    ,    966
    46    ,    1002
    47    ,    1044
    48    ,    1024
    49    ,    657
    50    ,    959
    51    ,    984
    52    ,    1001
    53    ,    962
    54    ,    996
    55    ,    1030
    56    ,    1009
    57    ,    906
    58    ,    971
    59    ,    992
    60    ,    994
    61    ,    973
    62    ,    992
    63    ,    1034
JDK-15 vanilla UseAVX=3
  Length(bytes)      Time(ms)
------------------------------------------
    0    ,    
    1    ,    390
    2    ,    418
    3    ,    443
    4    ,    412
    5    ,    426
    6    ,    457
    7    ,    490
    8    ,    919
    9    ,    561
    10    ,    812
    11    ,    871
    12    ,    864
    13    ,    865
    14    ,    908
    15    ,    955
    16    ,    931
    17    ,    601
    18    ,    869
    19    ,    901
    20    ,    923
    21    ,    906
    22    ,    937
    23    ,    977
    24    ,    961
    25    ,    584
    26    ,    909
    27    ,    939
    28    ,    927
    29    ,    917
    30    ,    950
    31    ,    987
    32    ,    957
    33    ,    571
    34    ,    875
    35    ,    930
    36    ,    931
    37    ,    942
    38    ,    967
    39    ,    1013
    40    ,    1001
    41    ,    620
    42    ,    950
    43    ,    973
    44    ,    994
    45    ,    968
    46    ,    1001
    47    ,    1039
    48    ,    1019
    49    ,    657
    50    ,    974
    51    ,    1016
    52    ,    1020
    53    ,    962
    54    ,    982
    55    ,    1031
    56    ,    985
    57    ,    905
    58    ,    972
    59    ,    992
    60    ,    983
    61    ,    986
    62    ,    993
    63    ,    1035
JDK-TIP PartialInlineSize = 32
  Length(bytes)      Time(ms)
------------------------------------------
    0    ,    
    1    ,    386
    2    ,    429
    3    ,    454
    4    ,    394
    5    ,    429
    6    ,    445
    7    ,    481
    8    ,    918
    9    ,    742
    10    ,    778
    11    ,    840
    12    ,    806
    13    ,    825
    14    ,    793
    15    ,    845
    16    ,    800
    17    ,    769
    18    ,    804
    19    ,    815
    20    ,    819
    21    ,    832
    22    ,    845
    23    ,    846
    24    ,    819
    25    ,    740
    26    ,    778
    27    ,    784
    28    ,    793
    29    ,    801
    30    ,    757
    31    ,    767
    32    ,    763
    33    ,    947
    34    ,    1001
    35    ,    1023
    36    ,    1033
    37    ,    973
    38    ,    1059
    39    ,    1036
    40    ,    1013
    41    ,    962
    42    ,    988
    43    ,    1012
    44    ,    1037
    45    ,    1037
    46    ,    963
    47    ,    993
    48    ,    971
    49    ,    981
    50    ,    1011
    51    ,    1032
    52    ,    1036
    53    ,    1045
    54    ,    1058
    55    ,    997
    56    ,    988
    57    ,    936
    58    ,    975
    59    ,    989
    60    ,    987
    61    ,    986
    62    ,    1000
    63    ,    1013
JDK-TIP PartialInlineSize = 64
  Length(bytes)      Time(ms)
------------------------------------------
    0    ,    
    1    ,    390
    2    ,    428
    3    ,    454
    4    ,    395
    5    ,    425
    6    ,    445
    7    ,    481
    8    ,    910
    9    ,    755
    10    ,    818
    11    ,    856
    12    ,    821
    13    ,    850
    14    ,    807
    15    ,    829
    16    ,    816
    17    ,    784
    18    ,    819
    19    ,    850
    20    ,    802
    21    ,    814
    22    ,    828
    23    ,    849
    24    ,    834
    25    ,    762
    26    ,    796
    27    ,    807
    28    ,    813
    29    ,    825
    30    ,    835
    31    ,    783
    32    ,    779
    33    ,    780
    34    ,    819
    35    ,    852
    36    ,    800
    37    ,    813
    38    ,    828
    39    ,    849
    40    ,    840
    41    ,    762
    42    ,    797
    43    ,    805
    44    ,    814
    45    ,    823
    46    ,    776
    47    ,    787
    48    ,    830
    49    ,    752
    50    ,    789
    51    ,    795
    52    ,    803
    53    ,    814
    54    ,    823
    55    ,    776
    56    ,    821
    57    ,    746
    58    ,    779
    59    ,    784
    60    ,    788
    61    ,    792
    62    ,    796
    63    ,    745
