 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       1146072      504171664  [B (java.base)
   2:       6827202      218470464  java.util.HashMap$Node (java.base)
   3:       8035925      192862200  java.lang.Long (java.base)
   4:       3002278       96072896  org.spec.jbb.hq.entity.ReceiptLine
   5:       1862807       74512280  java.math.BigDecimal (java.base)
   6:        392652       67571240  [Ljava.util.HashMap$Node; (java.base)
   7:       1274088       40770816  java.util.concurrent.ConcurrentHashMap$Node (java.base)
   8:        299979       30718408  [Ljava.lang.Object; (java.base)
   9:       1138767       27330408  java.lang.String (java.base)
  10:        395189       18969072  java.util.HashMap (java.base)
  11:        368179       14727160  java.math.BigInteger (java.base)
  12:         12189       12779672  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base)
  13:        241188       11577024  org.spec.jbb.hq.entity.Product
  14:        346254       11080128  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base)
  15:        237284        9491360  java.lang.ref.SoftReference (java.base)
  16:        369814        9032368  [I (java.base)
  17:        200000        6400000  org.spec.jbb.sm.inventory.LockedRandomBarcodeInventory$QuantityInfo
  18:        346255        5540080  java.util.concurrent.locks.ReentrantLock (java.base)
  19:        343076        5489216  java.util.HashSet (java.base)
  20:        165786        5305152  java.util.PriorityQueue (java.base)
  21:         77216        4941824  java.util.concurrent.ConcurrentHashMap (java.base)
  22:        203940        4894560  org.spec.jbb.core.collections.HashMultiSet$Entry
  23:        203618        4886832  java.util.concurrent.atomic.AtomicLong (java.base)
  24:        100000        4800000  org.spec.jbb.hq.entity.CreditCard
  25:        100000        4000000  org.spec.jbb.hq.entity.Customer
  26:        221226        3539616  java.util.HashMap$KeySet (java.base)
  27:         50469        3230016  org.spec.jbb.hq.entity.Receipt
  28:        100000        3200000  org.spec.jbb.hq.entity.Address
  29:        100000        3200000  org.spec.jbb.sm.CustomerSelection$CustomerPosition
  30:         75688        3027520  org.spec.jbb.hq.entity.CustomerProfile
  31:         70354        2814160  org.spec.jbb.core.locks.SoftEntry
  32:        101361        2432664  java.util.concurrent.ConcurrentLinkedQueue$Node (java.base)
  33:         75698        1816752  org.spec.jbb.core.collections.Window
  34:         52452        1258848  java.util.ArrayList (java.base)
  35:         37835        1210720  org.spec.jbb.core.cache.BoundedWriteBackCache$CacheEntry
  36:         37870         908880  java.util.Date (java.base)
  37:         50517         808272  org.spec.jbb.core.collections.HashMultiMap
