 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       1173993      866473312  [B (java.base)
   2:       6901297      220841504  java.util.HashMap$Node (java.base)
   3:       8180833      196339992  java.lang.Long (java.base)
   4:       3002629       96084128  org.spec.jbb.hq.entity.ReceiptLine
   5:        447928       68953368  [Ljava.util.HashMap$Node; (java.base)
   6:       1592068       63682720  java.math.BigDecimal (java.base)
   7:       1355384       43372288  java.util.concurrent.ConcurrentHashMap$Node (java.base)
   8:        390644       32487472  [Ljava.lang.Object; (java.base)
   9:       1162031       27888744  java.lang.String (java.base)
  10:        451021       21649008  java.util.HashMap (java.base)
  11:        429321       17172840  java.math.BigInteger (java.base)
  12:         23027       15121032  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base)
  13:        296699       14241552  org.spec.jbb.hq.entity.Product
  14:        369937       11837984  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base)
  15:        431644       10554320  [I (java.base)
  16:        255372       10214880  java.lang.ref.SoftReference (java.base)
  17:        227603        7283296  java.util.PriorityQueue (java.base)
  18:        105544        6754816  java.util.concurrent.ConcurrentHashMap (java.base)
  19:        200000        6400000  org.spec.jbb.sm.inventory.LockedRandomBarcodeInventory$QuantityInfo
  20:        398607        6377712  java.util.HashSet (java.base)
  21:        369938        5919008  java.util.concurrent.locks.ReentrantLock (java.base)
  22:        203618        4886832  java.util.concurrent.atomic.AtomicLong (java.base)
  23:        200000        4800000  org.spec.jbb.core.collections.HashMultiSet$Entry
  24:        100000        4800000  org.spec.jbb.hq.entity.CreditCard
  25:        103958        4158320  org.spec.jbb.hq.entity.CustomerProfile
  26:        100000        4000000  org.spec.jbb.hq.entity.Customer
  27:        249703        3995248  java.util.HashMap$KeySet (java.base)
  28:         50473        3230272  org.spec.jbb.hq.entity.Receipt
  29:        100000        3200000  org.spec.jbb.hq.entity.Address
  30:        100000        3200000  org.spec.jbb.sm.CustomerSelection$CustomerPosition
  31:         65519        2620760  org.spec.jbb.core.locks.SoftEntry
  32:        103968        2495232  org.spec.jbb.core.collections.Window
  33:        101920        2446080  java.util.concurrent.ConcurrentLinkedQueue$Node (java.base)
  34:          2244        1981728  [C (java.base)
  35:         51976        1663232  org.spec.jbb.core.cache.BoundedWriteBackCache$CacheEntry
  36:         52308        1255392  java.util.ArrayList (java.base)
  37:         49341        1184184  org.spec.jbb.core.collections.ConcurrentHashMultiSet$Entry
  38:         37423         898152  java.util.Date (java.base)
  39:         53469         855504  java.util.concurrent.atomic.AtomicInteger (java.base)
  40:         50521         808336  org.spec.jbb.core.collections.HashMultiMap
  41:         19687         629984  org.spec.jbb.sm.coupon.SpecificCoupon
  42:          4951         591320  java.lang.Class (java.base)
  43:         33138         530208  java.util.HashMap$EntrySet (java.base)
  44:         32745         523920  java.util.HashMap$Values (java.base)
  45:         17735         425640  org.spec.jbb.sm.coupon.GenericCoupon
  46:           360         374400  [Ljava.util.concurrent.ForkJoinTask; (java.base)
  47:          3578         314864  java.lang.reflect.Method (java.base)
  48:           666         261072  org.glassfish.grizzly.threadpool.DefaultWorkerThread
  49:         10001         240024  org.spec.jbb.infra.TransferLogsAgent$Frame
  50:         13216         211456  org.spec.jbb.core.probe.EmptyProbe
  51:         13179         210864  java.util.concurrent.ConcurrentHashMap$EntrySetView (java.base)
  52:          3753         150120  java.util.LinkedHashMap$Entry (java.base)
  53:          8489         135824  java.lang.Object (java.base)
  54:          1828         131616  java.lang.reflect.Field (java.base)
  55:          5458         120896  [Ljava.lang.Class; (java.base)
  56:           360         109440  java.util.concurrent.ForkJoinPool$WorkQueue (java.base)
  57:          1211          87192  java.lang.reflect.Constructor (java.base)
  58:          1390          86648  [Ljava.lang.String; (java.base)
