 num     #instances         #bytes  class name (module)
  97:          9526         304832  org.spec.jbb.core.cache.BoundedWriteBackCache$CacheEntry
  98:          7586         303440  java.util.HashMap$ValueIterator (java.base)
  99:         12306         295344  org.spec.jbb.sm.tx.request.MoveoutInventoryRequest
 100:         12306         295344  org.spec.jbb.sm.tx.response.MoveoutInventoryResponse
 101:         12080         289920  org.spec.jbb.core.collections.ConcurrentHashMultiSet$Entry
 102:          7077         283080  java.util.PriorityQueue$Itr (java.base)
 103:         10929         262296  java.util.Arrays$ArrayList (java.base)
 104:          7953         254496  java.io.ObjectOutputStream$PutFieldImpl (java.base)
 105:         15787         252592  org.spec.jbb.core.tx.response.OkResponse
 106:          7290         233280  org.spec.jbb.core.comm.connectivity.grizzlynio.proto.ProtocolDataUnit
 107:          7281         232992  org.glassfish.grizzly.TransformationResult
 108:           593         232456  org.glassfish.grizzly.threadpool.DefaultWorkerThread
 109:          8436         206112  [Lorg.spec.jbb.core.comm.Response;
 110:          3673         205688  org.glassfish.grizzly.memory.HeapMemoryManager$TrimmableHeapBuffer
 111:             1         200016  [Lorg.spec.jbb.hq.entity.Receipt;
 112:          5546         177472  org.spec.jbb.sm.coupon.SpecificCoupon
 113:         10412         166592  java.util.HashMap$EntrySet (java.base)
 114:           159         165360  [Ljava.util.concurrent.ForkJoinTask; (java.base)
 115:         10255         164080  java.util.concurrent.atomic.AtomicInteger (java.base)
 116:          4816         154112  org.spec.jbb.hq.tx.ProductResolveTransaction
 117:          9406         150496  java.util.HashMap$Values (java.base)
 118:          3753         150120  java.util.LinkedHashMap$Entry (java.base)
 119:          3440         137600  java.util.HashMap$EntryIterator (java.base)
 120:          2143         137152  org.spec.jbb.sm.tx.MoveInInventoryTransaction
 121:          1826         131472  java.lang.reflect.Field (java.base)
 122:          5413         120016  [Ljava.lang.Class; (java.base)
 123:          4980         119520  java.util.Arrays$ArrayItr (java.base)
 124:          7281         116496  org.glassfish.grizzly.AbstractTransformer$LastResultAwareState
 125:          3640         116480  [Lorg.spec.jbb.core.comm.connectivity.grizzlynio.proto.ProtocolDataUnit$Type;
 126:          4816         115584  org.spec.jbb.hq.tx.request.ProductResolveRequest
 127:          4792         115008  org.spec.jbb.hq.tx.request.ResolveCustomerRequest
 128:          4776         114624  org.spec.jbb.hq.tx.request.CheckAndReserveCreditRequest
 129:          4776         114624  org.spec.jbb.hq.tx.request.DrawCreditRequest
 130:          4718         113232  org.spec.jbb.hq.tx.request.GetCustomerProfileRequest
 131:          6677         106832  org.spec.jbb.core.probe.EmptyProbe
 132:          6199          99184  org.spec.jbb.core.comm.message.CompositeMessage
 133:          2388          95520  org.spec.jbb.sm.ShoppingCart
 134:          3647          87528  java.util.LinkedList$Node (java.base)
 135:          3643          87432  org.glassfish.grizzly.strategies.WorkerThreadIOStrategy$WorkerThreadRunnable
 136:          3642          87408  org.glassfish.grizzly.nio.DefaultSelectorHandler$RegisterKeyTask
 137:          2685          85920  org.spec.jbb.hq.tx.ProductReviewScoreTransaction
 138:          1158          83376  java.lang.reflect.Constructor (java.base)
 139:          1244          79616  org.spec.jbb.sm.tx.InStorePurchaseTransaction
 140:          1986          79440  sun.util.locale.LocaleObjectCache$CacheEntry (java.base)
 141:          2454          78528  org.spec.jbb.core.collections.HashMultiSet
 142:          4816          77056  org.spec.jbb.hq.tx.response.ProductResolveResponse
 143:          2396          76672  org.spec.jbb.hq.tx.ResolveCustomerTransaction
 144:          2388          76416  org.spec.jbb.hq.tx.CheckAndReserveCreditTransaction
 145:          2388          76416  org.spec.jbb.hq.tx.DrawCreditTransaction
 146:          2359          75488  org.spec.jbb.hq.tx.GetCustomerProfileTransaction
 147:          4718          75488  org.spec.jbb.hq.tx.response.CustomerProfileResponse
 148:          4707          75312  org.glassfish.grizzly.utils.Holder$1
 149:          1064          68096  java.util.zip.Deflater (java.base)
 150:          4228          67648  java.util.concurrent.ConcurrentHashMap$EntrySetView (java.base)
 151:          2685          64440  org.spec.jbb.hq.tx.request.GetProductReviewScoreRequest
 152:           895          64440  org.spec.jbb.sm.tx.OnlinePurchaseTransaction
 153:          2668          64032  org.glassfish.grizzly.attributes.UnsafeAttributeHolder$Holder
 154:          2501          60024  org.spec.jbb.hq.tx.CustomerRatingProductResolveTransaction
 155:          2492          59808  java.util.concurrent.ForkJoinTask$Aux (java.base)
 156:          2388          57312  org.spec.jbb.core.purchase.CustomerSpecificPurchaseAgent$1
 157:          2388          57312  org.spec.jbb.core.purchase.CustomerSpecificPurchaseAgent$2
 158:          2388          57312  org.spec.jbb.hq.tx.PurchaseReceiptTransaction
 159:          2286          54864  java.util.ArrayDeque (java.base)
 160:           565          54240  org.glassfish.grizzly.nio.SelectorRunner
 161:          1116          53568  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base)
 162:           644          51520  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry; (java.base)
